name,category,location,unit,pack_size,par_level,tracking_mode,preferred_shop,snackbox_ok,kid_ok,source,aliases,snack_component
Full cream long-life milk,dairy,pantry,litre,6,6,count,Spar,false,true,bought,milk|UHT milk|long life milk,
Fresh full cream milk,dairy,fridge,litre,1,2,count,Spar,false,true,bought,fresh milk,
Yoghurt pots,dairy,fridge,piece,6,6,count,Woolworths,true,true,bought,yoghurt|yogurt,protein
Cheese block,dairy,fridge,piece,1,1,level,Checkers,true,true,bought,cheddar|gouda,protein
Butter,dairy,fridge,piece,1,1,level,Checkers,false,true,bought,,
Eggs,fresh,pantry,piece,18,6,count,,true,true,farm,egg,protein
Lemons,fresh,fridge,piece,1,3,count,Everfresh,false,true,bought,lemon,
Cucumber,fresh,fridge,piece,1,1,count,Everfresh,true,true,bought,,veg
Cauliflower,fresh,fridge,piece,1,0,count,Everfresh,false,true,bought,,
Fresh herbs,fresh,fridge,pack,1,0,level,Everfresh,false,true,bought,herbs|coriander|parsley,
Potatoes,fresh,pantry,kg,2,2,level,Everfresh,false,true,bought,potato,
Onions,fresh,pantry,kg,1,1,level,Everfresh,false,true,bought,onion,
Apples,fresh,fridge,piece,1,5,count,Everfresh,true,true,bought,apple,fruit
Bananas,fresh,pantry,piece,1,5,count,Everfresh,true,true,bought,banana,fruit
Grapes,fresh,fridge,pack,1,0,level,Everfresh,true,true,bought,,fruit
Fruit juice boxes,drinks,fridge,piece,6,6,count,Checkers,true,true,bought,juice box|Sunfirst|Liqui Fruit,drink
Sausage / boerewors,fresh,fridge,kg,1,0,level,Everfresh,false,true,bought,wors|boerewors|sausage,
Cold meat,fresh,fridge,pack,1,1,level,Everfresh,true,true,bought,ham|polony,protein
Tomato sauce,pantry,fridge,bottle,1,1,count,Checkers,false,true,bought,ketchup|All Gold,
Mayonnaise,pantry,fridge,bottle,1,1,count,Checkers,false,true,bought,mayo,
Mustard,pantry,fridge,bottle,1,1,count,Checkers,false,true,bought,Colman's,
Worcester and steak sauces,pantry,fridge,bottle,1,1,level,Checkers,false,true,bought,Wellington's|Worcester sauce|steak sauce,
Chutney,pantry,fridge,bottle,1,1,count,Checkers,false,true,bought,Mrs Balls,
Soy sauce,pantry,pantry,bottle,1,1,count,Checkers,false,true,bought,,
Red wine vinegar,pantry,pantry,bottle,1,1,count,Checkers,false,true,bought,,
White vinegar,pantry,pantry,bottle,1,1,count,Spar,false,true,bought,spirit vinegar,
Sunflower oil,pantry,fridge,litre,2,2,level,Checkers,false,true,bought,cooking oil|oil,
Olive oil,pantry,pantry,bottle,1,1,level,Woolworths,false,true,bought,,
Frozen chicken nuggets,frozen,freezer,box,1,1,count,Checkers,false,true,bought,nuggets,
Fish fingers,frozen,freezer,box,1,1,count,Checkers,false,true,bought,,
Frozen chips,frozen,freezer,bag,1,1,count,Checkers,false,true,bought,chips|fries,
Basa fillets,frozen,freezer,pack,1,1,count,Checkers,false,true,bought,fish|hake,
Frozen peas,frozen,freezer,bag,1,1,count,Checkers,false,true,bought,peas,
Frozen mixed veg,frozen,freezer,bag,1,1,count,Checkers,false,true,bought,mixed veg,
Frozen blueberries,frozen,freezer,bag,1,1,count,Woolworths,true,true,bought,blueberries,fruit
Ice cream,frozen,freezer,litre,2,1,level,Checkers,false,true,bought,Dairy Dream,
Beef mince,frozen,freezer,kg,1,2,count,Spar,false,true,bought,mince,
Chicken pieces,frozen,freezer,kg,1,2,count,Spar,false,true,bought,chicken|chicken breasts|whole chicken,
Pork chops,frozen,freezer,pack,1,1,count,Spar,false,true,bought,pork,
Braai meat,frozen,freezer,kg,1,1,level,Spar,false,true,bought,steak|lamb chops|braai pack,
Brown bread,pantry,chest freezer,piece,1,3,count,Spar,true,true,bought,bread|Sunshine bread|loaf,carb
Sourdough bread,pantry,chest freezer,piece,1,1,count,Woolworths,true,true,bought,sourdough,carb
Frozen pizza,frozen,chest freezer,piece,1,2,count,Checkers,false,true,bought,Dr Oetker|pizza,
Poppadoms,pantry,chest freezer,box,1,0,count,Checkers,false,true,bought,,
Two-minute noodles,pantry,pantry,pack,1,4,count,Spar,false,true,bought,Maggi noodles|noodles,
Noodle soup packets,pantry,fridge,pack,1,2,count,Woolworths,false,true,bought,,
Popcorn kernels,pantry,pantry,bag,1,1,count,Spar,true,true,bought,popcorn,treat
Chicken stock cubes,pantry,pantry,box,1,1,level,Spar,false,true,bought,stock|Knorr cubes,
Packet soups,pantry,pantry,pack,1,3,count,Spar,false,true,bought,Knorr soup,
Bread crumbs,pantry,pantry,bag,1,1,count,Woolworths,false,true,bought,,
Penne pasta,pantry,pantry,kg,0.5,1,level,Spar,false,true,bought,pasta,
Spaghetti,pantry,pantry,kg,0.5,1,count,Spar,false,true,bought,,
Lasagne sheets,pantry,pantry,box,1,1,count,Spar,false,true,bought,instant lasagne,
